course_id,prereq_id
115972,115971
115973,115965
115974,115973
115974,115260
115975,115973
115975,115260
115976,115960
115976,116022
115976,115966
115978,115959
115978,115955
115979,115959
115979,115955
115980,115260
115980,115964
115980,115965
115981,115965
115982,119691
115982,115966
115982,115981
115983,116022
115983,119691
115983,115985
115983,115986
115985,115960
115985,115009
115985,115341
115985,120166
115986,115960
115986,114935
115986,115062
115986,115377
115986,120168
115987,115986
115987,115089
115988,119691
115988,120026
115988,115986
115988,115985
115989,114935
115990,115965
115991,115960
115991,115341
115991,120166
115992,115970
115993,115960
115996,115992
115996,115993
115996,119691
115998,115968
115999,115965
115999,115987
116000,115965
116000,115981
116001,115974
116001,115980
116002,115975
116002,115980
116003,115974
116003,115980
116004,115973
116004,115980
